Pref,Vcat,SOCinit,Pcat,Prhe,Pnosupp,Pacc,Ptrain,SOCfinal
350,550,0.5,0,0,107,270,270,0.495833333
200,550,0.5,0,0,0,222.2222222,222.2222222,0.496570645
350,550,0.075,0,0,228.5,135,135,0.072916667
200,550,0.075,0,0,78.5,135,135,0.072916667
350,550,0.05,0,0,350,0,0,0.05
350,600,0.05,388.8888889,0,0,0,388.8888889,0.05
200,600,0.5,0,0,0,222.2222222,222.2222222,0.496570645
350,600,0.5,118.8888889,0,2.84E-14,270,388.8888889,0.495833333
350,600,0.075,253.8888889,0,2.84E-14,135,388.8888889,0.072916667
150,600,0.09,0,0,0,166.6666667,166.6666667,0.087427984
650,575,0.5,226.1111111,0,203.5,270,496.1111111,0.495833333
350,575,0.5,59.44444444,0,53.5,270,329.4444444,0.495833333
200,575,0.5,0,0,0,222.2222222,222.2222222,0.496570645
650,575,0.075,293.6111111,0,264.25,135,428.6111111,0.072916667
350,575,0.075,126.9444444,0,114.25,135,261.9444444,0.072916667
200,575,0.075,43.61111111,0,39.25,135,178.6111111,0.072916667
200,575,0.05,111.1111111,0,100,0,111.1111111,0.05
-350,900,1,0,-315,0,0,-315,1
-650,900,0.5,0,-251.6666667,0,-333.3333333,-585,0.504166667
-350,900,0.5,0,0,0,-315,-315,0.5039375
-650,900,0.975,0,-585,0,0,-585,0.975
-150,900,0.975,0,-135,0,0,-135,0.975
-200,850,1,-180,0,0,0,-180,1
-650,850,0.975,-585,0,0,0,-585,0.975
-150,850,0.975,-135,0,0,0,-135,0.975
-650,850,0.5,-251.6666667,0,0,-333.3333333,-585,0.504166667
-300,850,0.5,0,0,0,-270,-270,0.503375
-650,875,0.975,-292.5,-292.5,0,0,-585,0.975
-150,875,0.975,-67.5,-67.5,0,0,-135,0.975
-650,875,0.5,-251.6666667,0,0,-333.3333333,-585,0.504166667
-200,875,0.5,0,0,0,-180,-180,0.50225
-600,890,1,-108,-432,0,0,-540,1
-1000,875,0.5,-450,-116.6666667,0,-333.3333333,-900,0.504166667
-650,890,0.975,-117,-468,0,0,-585,0.975
